2228.653982
0.206219,1,2
0.648424,1,3
2.205664,1,4
0.46744,1,5
0.111317,1,6
0.082867,1,7
0.72956,1,8
0.539664,1,9
0.567443,1,12
0.167307,2,1
8.670989,2,3
4.960392,2,4
1.661251,2,5
9.514085,2,6
2.476901,2,7
4.596925,2,8
5.98648,2,9
0.473403,2,10
18.416677,2,11
31.709101,2,12
0.053333,3,1
7.328507,3,2
12.766037,3,4
4.361827,3,5
19.712331,3,6
3.870696,3,7
11.993664,3,8
1.73984,3,9
1.879992,3,10
8.117013,3,11
5.305755,3,12
0.033851,4,1
13.814619,4,2
60.574531,4,3
14.997579,4,5
26.369885,4,6
17.714197,4,7
3.756304,4,8
23.571768,4,9
7.430435,4,10
10.965117,4,11
63.720453,4,12
1.004427,5,1
0.31772,5,2
10.655883,5,3
1.697832,5,4
1.395165,5,6
1.327443,5,7
79.225973,5,8
3.086933,5,9
0.1002,5,10
3.227779,5,11
1.825243,5,12
0.026667,6,1
18.007643,6,2
78.620539,6,3
10.885461,6,4
2.704723,6,5
6.485096,6,7
63.399107,6,8
27.595509,6,9
1.897555,6,10
10.056611,6,11
33.071557,6,12
0.026667,7,1
1.623096,7,2
29.596203,7,3
7.895789,7,4
3.587616,7,5
13.108003,7,6
9.147651,7,8
5.109744,7,9
1.136877,7,10
2.840307,7,11
8.357973,7,12
0.062963,8,1
6.867453,8,2
70.800949,8,3
6.744712,8,4
46.032072,8,5
8.675275,8,6
6.861555,8,7
37.23172,8,9
5.456264,8,10
11.939829,8,11
58.093397,8,12
0.911544,9,1
16.321043,9,2
43.933547,9,3
34.015197,9,4
9.545872,9,5
50.762571,9,6
15.106155,9,7
40.335504,9,8
3.818877,9,10
29.705187,9,11
54.470325,9,12
0.133333,10,2
1.727944,10,3
0.837072,10,4
0.117845,10,5
0.443592,10,6
0.379211,10,7
41.078965,10,8
1.032843,10,9
62.017173,10,11
0.106667,10,12
0.200645,11,1
5.943603,11,2
57.477269,11,3
3.463392,11,4
3.332733,11,5
16.765493,11,6
3.693445,11,7
18.986005,11,8
18.943456,11,9
7.492296,11,10
11.912517,11,12
0.026667,12,1
104.638104,12,2
62.14548,12,3
48.079533,12,4
6.500979,12,5
63.023851,12,6
15.972464,12,7
63.011981,12,8
163.280325,12,9
1.149392,12,10
33.732861,12,11
succeed
0.0,0.206219,0.648424,2.205664,0.46744,0.111317,0.082867,0.72956,0.539664,0.0,0.0,0.567443
0.167307,0.0,8.670989,4.960392,1.661251,9.514085,2.476901,4.596925,5.98648,0.473403,18.416677,31.709101
0.053333,7.328507,0.0,12.766037,4.361827,19.712331,3.870696,11.993664,1.73984,1.879992,8.117013,5.305755
0.033851,13.814619,60.574531,0.0,14.997579,26.369885,17.714197,3.756304,23.571768,7.430435,10.965117,63.720453
1.004427,0.31772,10.655883,1.697832,0.0,1.395165,1.327443,79.225973,3.086933,0.1002,3.227779,1.825243
0.026667,18.007643,78.620539,10.885461,2.704723,0.0,6.485096,63.399107,27.595509,1.897555,10.056611,33.071557
0.026667,1.623096,29.596203,7.895789,3.587616,13.108003,0.0,9.147651,5.109744,1.136877,2.840307,8.357973
0.062963,6.867453,70.800949,6.744712,46.032072,8.675275,6.861555,0.0,37.23172,5.456264,11.939829,58.093397
0.911544,16.321043,43.933547,34.015197,9.545872,50.762571,15.106155,40.335504,0.0,3.818877,29.705187,54.470325
0.0,0.133333,1.727944,0.837072,0.117845,0.443592,0.379211,41.078965,1.032843,0.0,62.017173,0.106667
0.200645,5.943603,57.477269,3.463392,3.332733,16.765493,3.693445,18.986005,18.943456,7.492296,0.0,11.912517
0.026667,104.638104,62.14548,48.079533,6.500979,63.023851,15.972464,63.011981,163.280325,1.149392,33.732861,0.0
